task_id,tang,khoi_chuc_nang,quy_trinh_cap2,tac_vu_cap3,mo_ta_ngan,input,nguon_input,output,nguoi_nhan_output,role_chinh,role_phu,tan_suat,thoi_luong_uoc_tinh_phut,he_thong_dung,buoc_thu_cong,diem_gay_pain_point,rang_buoc_phap_ly,do_tin_cay(FACT/INFERENCE),source_ids,chi_tiet_ref,can_phong_van,raw_ref,loai_tac_vu
T-BO-066,Back Office,Performance & Risk Management,Báo cáo,Đánh giá mức độ tuân thủ quy trình quản lý rủi ro và báo cáo HĐQT định kỳ hàng năm,"Thành viên phụ trách hoặc tiểu ban quản trị rủi ro kiểm tra, đánh giá mức độ tuân thủ quy trình quản lý rủi ro của các bộ phận nghiệp vụ; định kỳ hàng năm phối hợp bộ phận quản trị rủi ro, kiểm toán nội bộ, kiểm soát nội bộ rà soát, đánh giá mức độ đầy đủ, hiệu quả, hiệu lực hệ thống quản trị rủi ro; báo cáo hội đồng quản trị và đề xuất phương án khắc phục.",Báo cáo tuân thủ quy trình quản lý rủi ro từ các bộ phận nghiệp vụ,Các bộ phận nghiệp vụ / Kiểm toán nội bộ / Kiểm soát nội bộ,"Báo cáo đánh giá hiệu quả, hiệu lực hệ thống quản trị rủi ro kèm đề xuất khắc phục",Hội đồng quản trị,Quản trị rủi ro,Kiểm toán nội bộ / Kiểm soát nội bộ,Định kỳ hàng năm,,,,,"Quyết định 428/QĐ-UBCK, Điều 5",REG,S-REG-QD428,"định kỳ hàng năm phối hợp với bộ phận quản trị rủi ro... rà soát, đánh giá mức độ đầy đủ, hiệu quả",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L166,Vận hành
T-BO-067,Back Office,Performance & Risk Management,Quản trị rủi ro,Ban hành quy chế hoạt động của tiểu ban quản trị rủi ro,"Trường hợp thành lập tiểu ban quản trị rủi ro, hội đồng quản trị/hội đồng thành viên/chủ sở hữu ban hành quy chế hoạt động của tiểu ban gồm quyền, trách nhiệm, tổ chức họp, biểu quyết, biên bản, cơ chế phối hợp và bảo mật thông tin.",,,Quy chế hoạt động tiểu ban quản trị rủi ro,Tiểu ban quản trị rủi ro,Hội đồng quản trị,,Khi phát sinh (khi thành lập tiểu ban),,,,,"Quyết định 428/QĐ-UBCK, Điều 5",REG,S-REG-QD428,"cần ban hành quy chế hoạt động của tiểu ban quản trị rủi ro, bao gồm các quy định về quyền, trách nhiệm",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L172,Quản trị
T-BO-068,Back Office,Performance & Risk Management,Quản trị rủi ro,Tổ chức triển khai thực hiện chiến lược và chính sách quản trị rủi ro sau khi được phê duyệt,"Ban điều hành tổ chức triển khai thực hiện chiến lược và chính sách quản trị rủi ro sau khi đã được hội đồng quản trị/hội đồng thành viên/chủ sở hữu phê duyệt, ban hành.","Chiến lược, chính sách quản trị rủi ro đã được phê duyệt",Hội đồng quản trị,"Kế hoạch/hoạt động triển khai chiến lược, chính sách quản trị rủi ro",Các bộ phận trong công ty,Ban điều hành,,Khi ban hành chính sách mới,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,Tổ chức triển khai thực hiện chiến lược và chính sách quản trị rủi ro sau khi đã được... phê duyệt,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L180,Quản trị
T-BO-069,Back Office,Performance & Risk Management,Quản trị rủi ro,"Giám sát tuân thủ chiến lược, chính sách quản trị rủi ro; bố trí nhân sự và phổ biến kiến thức quản lý rủi ro","Ban điều hành giám sát bảo đảm hoạt động quản trị rủi ro thực hiện phù hợp với chiến lược, chính sách; các quy trình quản lý rủi ro được tuân thủ đầy đủ; bố trí đủ nhân sự và nguồn lực tài chính; thường xuyên cập nhật, phổ biến kiến thức, kinh nghiệm quản lý rủi ro cho cán bộ, nhân sự công ty.",Báo cáo tuân thủ quy trình quản lý rủi ro từ các bộ phận,Các bộ phận nghiệp vụ,Kế hoạch bố trí nhân sự quản trị rủi ro; tài liệu/chương trình phổ biến kiến thức quản lý rủi ro,Các bộ phận trong công ty,Ban điều hành,,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,"bố trí đủ nhân sự phù hợp với yêu cầu... thường xuyên cập nhật, phổ biến kiến thức kinh nghiệm",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L182,Quản trị
T-BO-070,Back Office,Performance & Risk Management,Báo cáo,Báo cáo HĐQT định kỳ hàng quý về công tác quản trị rủi ro,"Định kỳ hàng quý, Ban điều hành báo cáo hội đồng quản trị/hội đồng thành viên/chủ sở hữu về công tác quản trị rủi ro, đánh giá tính phù hợp, hiệu quả, hiệu lực của hệ thống quản trị rủi ro và mức độ đầy đủ của các chính sách, quy định, quy trình quản lý rủi ro.","Số liệu, tình hình hoạt động quản trị rủi ro trong quý",Bộ phận quản trị rủi ro,Báo cáo quý về công tác quản trị rủi ro,Hội đồng quản trị,Ban điều hành,,Định kỳ hàng quý,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,"Định kỳ hàng quý, báo cáo hội đồng quản trị... về công tác quản trị rủi ro; đánh giá tính phù hợp",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L184,Vận hành
T-BO-071,Back Office,Performance & Risk Management,Quản trị rủi ro,Phân công thành viên Ban điều hành phụ trách công tác quản trị rủi ro,Ban điều hành phân công một thành viên trong Ban điều hành phụ trách công tác quản trị rủi ro.,,,Quyết định phân công thành viên Ban điều hành phụ trách quản trị rủi ro,Toàn công ty,Ban điều hành,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,Ban điều hành phân công một thành viên trong ban điều hành phụ trách công tác quản trị rủi ro,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L186,Quản trị
T-BO-072,Back Office,Performance & Risk Management,Quản trị rủi ro,Thành lập bộ phận quản trị rủi ro hoặc giao bộ phận kiểm soát nội bộ thực hiện nhiệm vụ quản trị rủi ro,"Tùy quy mô hoạt động, Ban điều hành quyết định thành lập bộ phận quản trị rủi ro hoặc yêu cầu bộ phận kiểm soát nội bộ thực hiện các nhiệm vụ quản trị rủi ro.",,,Quyết định thành lập bộ phận quản trị rủi ro hoặc phân giao nhiệm vụ cho kiểm soát nội bộ,Bộ phận quản trị rủi ro / Kiểm soát nội bộ,Ban điều hành,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,ban điều hành được thành lập bộ phận quản trị rủi ro hoặc yêu cầu bộ phận kiểm soát nội bộ thực hiện,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L188,Quản trị
T-BO-073,Back Office,Performance & Risk Management,Quản trị rủi ro,Xây dựng mô hình nội bộ để quản lý rủi ro,"Bộ phận quản trị rủi ro nghiên cứu, phát triển, dự thảo chiến lược, chính sách quản trị rủi ro trình Ban điều hành trình hội đồng quản trị phê duyệt, ban hành; đồng thời xây dựng các mô hình nội bộ để quản lý rủi ro.",,,"Mô hình nội bộ quản lý rủi ro; dự thảo chiến lược, chính sách quản trị rủi ro",Ban điều hành,Quản trị rủi ro,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,xây dựng các mô hình nội bộ để quản lý rủi ro,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L192,Vận hành
T-BO-074,Back Office,Performance & Risk Management,Quản trị rủi ro,"Giám sát khẩu vị rủi ro và giới hạn rủi ro của các bộ phận nghiệp vụ; trực tiếp quản lý rủi ro hoạt động, uy tín, tuân thủ","Bộ phận quản trị rủi ro tổng hợp thông tin, giám sát các bộ phận nghiệp vụ tổ chức thực hiện quản trị rủi ro, bảo đảm rủi ro phát sinh không vượt khẩu vị và giới hạn rủi ro; giám sát hoạt động quản trị khẩu vị rủi ro và tuân thủ giới hạn rủi ro; trực tiếp thực hiện quản lý rủi ro hoạt động, rủi ro uy tín, rủi ro tuân thủ.",Báo cáo rủi ro từ các bộ phận nghiệp vụ,Các bộ phận nghiệp vụ,Báo cáo giám sát khẩu vị/giới hạn rủi ro,Ban điều hành,Quản trị rủi ro,,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,bảo đảm các rủi ro phát sinh tiềm ẩn... không vượt qua các khẩu vị rủi ro và giới hạn rủi ro,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L194,Vận hành
T-BO-075,Back Office,Performance & Risk Management,Quản trị rủi ro,"Định dạng, định lượng, kiểm thử trạng thái rủi ro và tổng hợp báo cáo rủi ro từ các bộ phận nghiệp vụ","Bộ phận quản trị rủi ro định dạng, định lượng, kiểm thử trạng thái rủi ro; kiểm soát rủi ro tiềm tàng; phân bổ nguồn lực quản lý rủi ro; tổ chức thực hiện, giám sát thực thi chính sách, quy trình quản lý rủi ro và xử lý rủi ro hàng ngày; tiếp nhận, theo dõi, tổng hợp báo cáo về rủi ro thị trường, thanh khoản, thanh toán từ các bộ phận nghiệp vụ; điều phối công tác quản trị rủi ro giữa các bộ phận.","Báo cáo rủi ro thị trường, thanh khoản, thanh toán từ các bộ phận nghiệp vụ",Các bộ phận nghiệp vụ,Báo cáo tổng hợp trạng thái rủi ro; kế hoạch xử lý rủi ro hàng ngày,Ban điều hành,Quản trị rủi ro,,Hàng ngày,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,"tiếp nhận, theo dõi, tổng hợp các báo cáo về rủi ro và xử lý rủi ro từ các bộ phận nghiệp vụ",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L196,Vận hành
T-BO-076,Back Office,Performance & Risk Management,Báo cáo,Báo cáo Ban điều hành hàng tháng về quản lý rủi ro và báo cáo 6 tháng về hiệu quả hệ thống QTRR,"Định kỳ hàng tháng, bộ phận quản trị rủi ro báo cáo Ban điều hành về các vấn đề liên quan tới công tác quản lý rủi ro, các giới hạn rủi ro bị vượt và giải pháp xử lý; định kỳ sáu tháng, báo cáo Ban điều hành về hiệu quả hoạt động của hệ thống quản trị rủi ro.",Dữ liệu giám sát rủi ro trong kỳ,Bộ phận quản trị rủi ro,Báo cáo tháng về quản lý rủi ro; báo cáo 6 tháng về hiệu quả hệ thống quản trị rủi ro,Ban điều hành,Quản trị rủi ro,,Định kỳ hàng tháng / 6 tháng,,,,,"Quyết định 428/QĐ-UBCK, Điều 6",REG,S-REG-QD428,"Định kỳ hàng tháng, báo cáo ban điều hành về các vấn đề liên quan tới công tác quản lý rủi ro",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L198,Vận hành
T-BO-077,Back Office,Performance & Risk Management,Quản trị rủi ro,Bộ phận kiểm toán nội bộ và kiểm soát nội bộ tham gia công tác quản trị rủi ro theo Thông tư 212/2012/TT-BTC,"Bộ phận kiểm toán nội bộ tham gia quản trị rủi ro theo điểm b, c khoản 3 Điều 9 Thông tư 212/2012/TT-BTC; bộ phận kiểm soát nội bộ tham gia quản trị rủi ro theo điểm c khoản 1 Điều 10 Thông tư 212/2012/TT-BTC.",,,Hoạt động tham gia quản trị rủi ro của kiểm toán nội bộ/kiểm soát nội bộ theo phân công tại TT212/2012,Ban điều hành,Kiểm toán nội bộ,Kiểm soát nội bộ,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 7",REG,S-REG-QD428,"có trách nhiệm tham gia công tác quản trị rủi ro theo điểm b, điểm c khoản 3 Điều 9 Thông tư",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L202,Quản trị
T-BO-078,Back Office,Performance & Risk Management,Quản trị rủi ro,"Bảo đảm công tác quản trị rủi ro toàn công ty tuân thủ chính sách, quy trình đã phê duyệt","Bộ phận kiểm soát nội bộ trực tiếp (nếu công ty không thành lập bộ phận quản trị rủi ro) hoặc phối hợp với bộ phận quản trị rủi ro giúp Ban điều hành đảm bảo công tác quản trị rủi ro trong toàn công ty tuân thủ theo các chính sách, quy trình quản lý rủi ro đã phê duyệt và quy định pháp luật khác.",,,Báo cáo/ý kiến bảo đảm tuân thủ quản trị rủi ro toàn công ty,Ban điều hành,Kiểm soát nội bộ,Quản trị rủi ro,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 7",REG,S-REG-QD428,giúp ban điều hành đảm bảo công tác quản trị rủi ro trong toàn công ty được tuân thủ theo các chính sách,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L210,Vận hành
T-BO-079,Back Office,Performance & Risk Management,Quản trị rủi ro,Tuân thủ chính sách và quy trình quản lý rủi ro trong hoạt động nghiệp vụ,Các bộ phận nghiệp vụ tuân thủ chính sách và các quy trình quản lý rủi ro trong mọi hoạt động nghiệp vụ của mình.,,,Hoạt động nghiệp vụ tuân thủ chính sách/quy trình quản lý rủi ro,Bộ phận quản trị rủi ro,Các bộ phận nghiệp vụ,,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 8",REG,S-REG-QD428,Tuân thủ chính sách và các quy trình quản lý rủi ro trong mọi hoạt động nghiệp vụ của mình,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L216,Vận hành
T-BO-080,Back Office,Performance & Risk Management,Quản trị rủi ro,Đề xuất khẩu vị rủi ro và giới hạn rủi ro cấu thành trong hoạt động nghiệp vụ,"Bộ phận nghiệp vụ tổng hợp thông tin, phân tích, đề xuất chiến lược quản trị rủi ro cấu thành; phối hợp xây dựng chiến lược, chính sách quản trị rủi ro; đề xuất khẩu vị rủi ro tiềm tàng và giới hạn rủi ro trong hoạt động nghiệp vụ; xây dựng khái niệm rủi ro, kỹ thuật định dạng, định lượng, xác lập giới hạn từng rủi ro cấu thành.",,,"Đề xuất khẩu vị rủi ro, giới hạn rủi ro cấu thành theo nghiệp vụ",Bộ phận quản trị rủi ro,Các bộ phận nghiệp vụ,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 8",REG,S-REG-QD428,đề xuất về khẩu vị rủi ro tiềm tàng và giới hạn rủi ro trong hoạt động nghiệp vụ của mình,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L218,Vận hành
T-BO-081,Back Office,Performance & Risk Management,Quản trị rủi ro,"Kiểm soát, giám sát và báo cáo rủi ro phát sinh tại bộ phận nghiệp vụ","Bộ phận nghiệp vụ kiểm soát, giám sát các rủi ro phát sinh trong hoạt động nghiệp vụ tại bộ phận; báo cáo rủi ro cho Ban điều hành thông qua bộ phận quản trị rủi ro (nếu có) và đề xuất, thực hiện phương án xử lý.",,,Báo cáo rủi ro phát sinh và đề xuất phương án xử lý,Ban điều hành / Bộ phận quản trị rủi ro,Các bộ phận nghiệp vụ,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 8",REG,S-REG-QD428,báo cáo rủi ro cho ban điều hành thông qua bộ phận quản trị rủi ro (nếu có) và đề xuất phương án xử lý,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L220,Vận hành
T-BO-082,Back Office,Performance & Risk Management,Quản trị rủi ro,Phân công đầu mối quản trị rủi ro tại bộ phận nghiệp vụ,"Trưởng bộ phận nghiệp vụ trực tiếp thực hiện hoặc phân công nhân viên có kinh nghiệm làm đầu mối (chuyên trách hoặc kiêm nhiệm) thực hiện công tác quản trị rủi ro tại bộ phận: giám sát, kiểm soát giao dịch, hoạt động nghiệp vụ để nhận diện, phòng ngừa rủi ro.",,,Quyết định phân công đầu mối quản trị rủi ro tại bộ phận,Bộ phận quản trị rủi ro,Trưởng bộ phận nghiệp vụ,,Khi phát sinh,,,,,"Quyết định 428/QĐ-UBCK, Điều 8",REG,S-REG-QD428,phân công một hoặc một số nhân viên có kinh nghiệm... làm đầu mối... thực hiện công tác quản trị rủi ro,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L222,Quản trị
T-BO-083,Back Office,Performance & Risk Management,Quản trị rủi ro,Xây dựng bảng giới hạn rủi ro theo mẫu quy định,"Công ty xác lập giới hạn rủi ro kèm theo khẩu vị rủi ro theo mẫu bảng giới hạn rủi ro tại Phụ lục 04; giới hạn rủi ro có thể lượng hóa hoặc xác định định tính, phân bổ theo bộ phận nghiệp vụ, loại sản phẩm, kỳ hạn, mức độ tập trung vị thế.",,,Bảng giới hạn rủi ro (theo mẫu Phụ lục 04),Ban điều hành / Các bộ phận nghiệp vụ,Quản trị rủi ro,,Định kỳ / khi điều chỉnh,,,,,"Quyết định 428/QĐ-UBCK, Điều 10",REG,S-REG-QD428,Khẩu vị rủi ro được xác lập kèm theo giới hạn rủi ro. Mẫu bảng giới hạn rủi ro... phụ lục số 04,Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L258,Vận hành
T-BO-084,Back Office,Performance & Risk Management,Quản trị rủi ro,Thiết lập ngưỡng cảnh báo rủi ro và xử lý khi bị vượt ngưỡng,"Ban điều hành xác lập các ngưỡng cảnh báo rủi ro thấp hơn giới hạn rủi ro đã phê duyệt; khi ngưỡng cảnh báo bị vượt, bộ phận nghiệp vụ thông báo ngay cho bộ phận quản trị rủi ro, Ban điều hành để có phương án xử lý kịp thời.",Số liệu giá trị rủi ro theo thời gian thực,Các bộ phận nghiệp vụ,Ngưỡng cảnh báo rủi ro; thông báo vượt ngưỡng và phương án xử lý,Bộ phận quản trị rủi ro / Ban điều hành,Ban điều hành,Các bộ phận nghiệp vụ,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 10",REG,S-REG-QD428,"ban điều hành xác lập các ngưỡng cảnh báo rủi ro, thấp hơn giá trị giới hạn rủi ro đã được phê duyệt",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L260,Vận hành
T-BO-085,Back Office,Performance & Risk Management,Quản trị rủi ro,Rà soát và cập nhật quy trình quản lý rủi ro thường xuyên,"Quy trình quản lý rủi ro cần được thường xuyên rà soát, kịp thời cập nhật, điều chỉnh để bảo đảm hiệu quả cao.",,,Quy trình quản lý rủi ro đã cập nhật,Toàn công ty,Quản trị rủi ro,,Thường xuyên,,,,,"Quyết định 428/QĐ-UBCK, Điều 11",REG,S-REG-QD428,"Quy trình quản lý rủi ro cần được thường xuyên rà soát, và kịp thời cập nhật, điều chỉnh",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L280,Vận hành
T-BO-086,Back Office,Performance & Risk Management,Quản trị rủi ro,"Xây dựng và thực hiện chiến lược, chính sách quản trị rủi ro cho quỹ và danh mục ủy thác","Công ty quản lý quỹ xây dựng chiến lược, chính sách quản trị rủi ro cho các quỹ, danh mục của khách hàng ủy thác phù hợp mục tiêu đầu tư, danh mục, loại hình quỹ, điều lệ quỹ, hợp đồng quản lý; chủ động thực hiện quy trình quản lý rủi ro theo chiến lược, chính sách đã xây dựng, trong phạm vi và hạn chế đầu tư quy định tại điều lệ quỹ, hợp đồng quản lý và pháp luật; cập nhật chiến lược, chính sách tối thiểu một năm một lần.","Điều lệ quỹ, hợp đồng quản lý đầu tư, mức chấp nhận rủi ro của khách hàng ủy thác",Ban đại diện quỹ / Khách hàng ủy thác,"Chiến lược, chính sách quản trị rủi ro riêng cho từng quỹ/danh mục ủy thác",Ban đại diện quỹ / Khách hàng ủy thác,Quản trị rủi ro,,Định kỳ (tối thiểu 1 năm/lần),,,,,"Quyết định 428/QĐ-UBCK, Điều 12, 13",REG,S-REG-QD428,"công ty quản lý quỹ có trách nhiệm xây dựng chiến lược, chính sách quản trị rủi ro cho các quỹ",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L289,Vận hành
T-BO-087,Back Office,Performance & Risk Management,Báo cáo,"Theo dõi, nhận diện và báo cáo rủi ro tiềm tàng trong danh mục quỹ; xử lý khi vượt ngưỡng hoặc giới hạn rủi ro","Nhân viên điều hành quỹ, bộ phận quản lý tài sản theo dõi, định dạng, nhận diện, định lượng, báo cáo bộ phận quản trị rủi ro và Ban điều hành về rủi ro tiềm tàng trong danh mục quỹ, khách hàng; khi vượt ngưỡng cảnh báo, công ty xử lý điều chỉnh xuống dưới ngưỡng; khi vượt giới hạn rủi ro, công ty lấy ý kiến ban đại diện quỹ, khách hàng ủy thác (nếu không được toàn quyền quyết định) và xử lý theo quy trình quản lý rủi ro đã phê duyệt.",Dữ liệu danh mục đầu tư của quỹ/khách hàng ủy thác,Bộ phận đầu tư / Kế toán quỹ,Báo cáo rủi ro danh mục; phương án xử lý khi vượt ngưỡng/giới hạn,Bộ phận quản trị rủi ro / Ban điều hành / Ban đại diện quỹ,Nhân viên điều hành quỹ,Quản trị rủi ro,Liên tục,,,,,"Quyết định 428/QĐ-UBCK, Điều 12",REG,S-REG-QD428,"có trách nhiệm theo dõi, định dạng, nhận diện, định lượng, báo cáo bộ phận quản trị rủi ro",Y,_raw/legal/quyet-dinh-428-qd-ubck.txt#L293,Vận hành
