uc_id,task_id,khoi_chuc_nang,ten_use_case,nang_luc_ai,ai_type,van_de_kinh_doanh,quy_trinh_hien_tai_theo_buoc,ai_lam_gi_o_buoc_nao,human_in_the_loop,du_lieu_can_co,rang_buoc_phap_ly,kpi_cai_thien,muc_do,source_ids,raw_ref,ghi_chu_thieu,co_pain_point_that,diem_gia_tri,diem_kha_thi,diem_du_lieu,diem_rui_ro,tong_diem,ro,ly_do_cham
UC-044,T-BO-058,Performance & Risk Management,"AI hỗ trợ rà soát và đề xuất cập nhật chiến lược, chính sách QTRR hàng năm",3-Phân tích chuyên sâu,AI Copilot,"Định kỳ hàng năm, các chiến lược, chính sách và quy trình QLRR phải được đánh giá lại, điều chỉnh cho phù hợp với quy mô hoạt động và bối cảnh thị trường — rà soát toàn diện thủ công tốn nhiều thời gian.","1. Tập hợp chiến lược/chính sách QTRR hiện hành. 2. So sánh với tình hình quy mô, thị trường mới. 3. Xác định điểm cần điều chỉnh. 4. Soạn thảo bản cập nhật trình Ban điều hành.","Bước 2 & 3: AI so sánh chính sách hiện hành với các thay đổi quy định pháp luật hoặc số liệu vi phạm trong năm, đề xuất danh mục điểm cần điều chỉnh.",Ban điều hành thẩm định các đề xuất điều chỉnh trước khi soạn bản cập nhật chính thức.,"Chiến lược, chính sách, quy trình QTRR hiện hành; báo cáo vi phạm/giới hạn bị vượt trong năm","Quyết định 428/QĐ-UBCK, Điều 3, 9",Thời gian hoàn thành rà soát chính sách QTRR hàng năm,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L121,Chưa có bản chính sách QTRR hiện hành thực tế của công ty để đối chiếu,N,3,3,2,3,2.75,Nghiên cứu,"Giá trị: 3 (cập nhật đúng hạn giúp tránh chính sách lạc hậu so với quy định) | Khả thi: 3 (so sánh văn bản định tính, AI hỗ trợ được nhưng cần giám sát kỹ) | Dữ liệu: 2 (chưa có chính sách QTRR hiện hành thực tế để làm input) | Rủi ro: 3 (đề xuất sai có thể dẫn đến chính sách không phù hợp nhưng có Ban điều hành thẩm định)."
UC-045,T-BO-060,Performance & Risk Management,AI hỗ trợ phổ biến chính sách quản trị rủi ro và theo dõi xác nhận đã đọc,4-Sinh nội dung,AI Agent,"Chính sách QTRR phải được xây dựng bằng văn bản và bảo đảm mọi cá nhân, bộ phận trong công ty được tiếp cận, nắm vững, hiểu rõ trách nhiệm — phổ biến và theo dõi xác nhận thủ công cho toàn công ty tốn nhiều thời gian.",1. Hoàn thiện văn bản chính sách QTRR. 2. Gửi phổ biến tới từng cá nhân/bộ phận. 3. Thu thập xác nhận đã đọc/hiểu. 4. Lưu vết tuân thủ.,"Bước 2, 3 & 4: AI tự động gửi chính sách kèm bản tóm tắt theo vai trò từng bộ phận, theo dõi tình trạng xác nhận đã đọc và nhắc những người chưa xác nhận.",Bộ phận nhân sự/quản trị rủi ro rà soát danh sách chưa xác nhận và xử lý ngoại lệ.,"Văn bản chính sách QTRR, danh sách nhân sự theo bộ phận","Quyết định 428/QĐ-UBCK, Điều 11",Tỷ lệ nhân viên xác nhận đã đọc chính sách QTRR đúng hạn,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L264,Chưa rõ công ty có hệ thống LMS/nội bộ để tích hợp theo dõi xác nhận hay không,N,3,4,4,4,3.65,Chiến lược,"Giá trị: 3 (tác vụ hành chính, giá trị vừa phải nhưng giúp có bằng chứng tuân thủ khi UBCKNN kiểm tra) | Khả thi: 4 (gửi thông báo và theo dõi xác nhận là workflow automation quen thuộc) | Dữ liệu: 4 (danh sách nhân sự và văn bản chính sách đều có sẵn nội bộ) | Rủi ro: 4 (rủi ro thấp, chỉ là thông báo hành chính, không ảnh hưởng quyết định nghiệp vụ)."
UC-046,T-BO-061,Performance & Risk Management,"AI phân loại và lập chỉ mục hồ sơ, tài liệu quản trị rủi ro",1-Trích xuất & phân loại,AI Agent,"Toàn bộ tài liệu QTRR (chiến lược, chính sách, quy trình, báo cáo, biên bản họp, nghị quyết...) phải được lưu trữ đầy đủ 10 năm và cung cấp cho UBCKNN khi có yêu cầu — lưu trữ rời rạc thủ công khó tra cứu nhanh khi bị thanh tra.","1. Nhận tài liệu QTRR phát sinh (chính sách, báo cáo, biên bản...). 2. Phân loại theo nhóm tài liệu. 3. Lưu trữ vào kho hồ sơ. 4. Tra cứu khi UBCKNN yêu cầu.","Bước 2 & 4: AI tự động phân loại tài liệu theo nhóm (chiến lược/chính sách/báo cáo/biên bản) và lập chỉ mục để tra cứu nhanh theo từ khóa, thời gian, loại tài liệu.",Bộ phận QTRR xác nhận phân loại đúng trước khi lưu chính thức vào kho hồ sơ.,Tài liệu QTRR phát sinh theo thời gian (định dạng điện tử),"Quyết định 428/QĐ-UBCK, Điều 15",Thời gian tra cứu tài liệu QTRR khi có yêu cầu của UBCKNN,CATALOGUE,S-REG-QD428,_raw/legal/quyet-dinh-428-qd-ubck.txt#L322,Chưa rõ tài liệu QTRR hiện lưu trữ dạng giấy hay điện tử,N,3,4,3,4,3.40,Chiến lược,"Giá trị: 3 (tra cứu nhanh hữu ích khi bị thanh tra nhưng không phải hoạt động hàng ngày) | Khả thi: 4 (phân loại tài liệu văn bản là năng lực AI phổ biến) | Dữ liệu: 3 (phụ thuộc tài liệu đã được số hoá hay còn dạng giấy) | Rủi ro: 4 (rủi ro thấp, chỉ là lưu trữ/tra cứu, không ảnh hưởng quyết định nghiệp vụ)."
UC-047,T-CO-001,Compliance & Regulatory Reporting,AI giám sát định kỳ cơ cấu tài khoản lưu ký đảm bảo tách biệt tài sản ủy thác,6-Phát hiện bất thường,AI Agent,"Công ty quản lý quỹ bắt buộc tách biệt tài sản ủy thác từng khách hàng và tài sản công ty (Điều 90.4 Luật CK) — đây là nghĩa vụ nền tảng, để lẫn tài sản là vi phạm nghiêm trọng ảnh hưởng trực tiếp quyền lợi nhà đầu tư.",1. Nhận báo cáo cơ cấu tài khoản lưu ký từ ngân hàng giám sát. 2. Đối chiếu tài khoản từng khách hàng với danh mục ủy thác tương ứng. 3. Xác nhận không có tài sản bị gộp lẫn. 4. Ghi nhận kết quả.,"Bước 2, 3: AI tự động đối chiếu cơ cấu tài khoản lưu ký với danh mục ủy thác từng khách hàng, cảnh báo nếu phát hiện dấu hiệu gộp lẫn tài sản.",Kiểm soát nội bộ xác nhận lại kết quả trước khi báo cáo ban điều hành.,"Báo cáo cơ cấu tài khoản lưu ký từ ngân hàng giám sát, danh mục ủy thác từng khách hàng",Luật Chứng khoán 54/2019/QH14 Điều 90 khoản 4,Thời gian phát hiện sai lệch cơ cấu tài khoản,CATALOGUE,S-COMP-001,_raw/legal_v2/congbao-luat-chung-khoan-54-2019-vbhn24.md#L3165,Chưa có thông tin tần suất kiểm tra thực tế và hệ thống lưu ký đang dùng — cần phỏng vấn,N,4,4,3,4,3.75,Chiến lược,Giá trị: 4 | Khả thi: 4 | Dữ liệu: 3 | Rủi ro: 4.
UC-048,T-CO-004,Compliance & Regulatory Reporting,AI đối chiếu giao dịch chứng khoán cá nhân của nhân viên với khai báo kiểm soát nội bộ,6-Phát hiện bất thường,RPA + AI,HD Capital bị UBCKNN phạt 125 triệu đồng vì không báo cáo đầy đủ giao dịch CK cá nhân của nhân viên cho bộ phận KSNB trước/sau giao dịch — rà soát thủ công theo mẫu dễ bỏ sót.,1. Nhân viên khai báo dự kiến giao dịch CK cá nhân. 2. KSNB ghi nhận khai báo. 3. Đối chiếu khai báo với dữ liệu giao dịch thực tế trên tài khoản CK của nhân viên. 4. Xử lý chênh lệch nếu có.,"Bước 3: AI đối chiếu tự động danh sách khai báo với dữ liệu giao dịch thực tế (nếu công ty có quyền truy cập/nhân viên cung cấp sao kê), phát hiện giao dịch chưa khai báo hoặc khai báo sai thời điểm.",Chuyên viên KSNB xác minh lại từng trường hợp AI gắn cờ trước khi xử lý kỷ luật/báo cáo.,"Danh sách khai báo giao dịch cá nhân, sao kê/xác nhận giao dịch CK của nhân viên",Luật Chứng khoán 54/2019/QH14 Điều 89 khoản 1; Quyết định 1017/QĐ-XPHC (9/11/2023),"Tỷ lệ giao dịch cá nhân được đối chiếu đầy đủ, giảm rủi ro phạt vi phạm",CATALOGUE,S-COMP-003,_raw/legal_v2/baodautu-hdcapital-xu-phat-1017-qd-xphc.md,Chưa xác nhận công ty có được quyền truy cập dữ liệu giao dịch CK cá nhân nhân viên hay chỉ dựa vào tự khai báo — cần phỏng vấn KSNB,Y,5,3,2,4,3.6,Chiến lược,Giá trị: 5 | Khả thi: 3 | Dữ liệu: 2 | Rủi ro: 4.
UC-049,T-CO-005,Compliance & Regulatory Reporting,AI soạn thảo công bố thông tin bất thường trong 24 giờ khi vượt hạn mức đầu tư/sai NAV,4-Sinh nội dung,RPA + AI,"Quỹ đại chúng phải công bố thông tin bất thường trong 24 giờ khi vượt hạn mức đầu tư hoặc định giá sai NAV — thời hạn gấp, soạn thủ công dễ chậm hoặc thiếu ý theo quy định.","1. Phát hiện sự kiện vượt hạn mức/định giá sai NAV. 2. Soạn nội dung công bố nêu sự kiện, nguyên nhân, giải pháp khắc phục. 3. Trình phê duyệt. 4. Công bố trong 24 giờ.","Bước 2: AI tự động sinh bản nháp công bố thông tin theo mẫu chuẩn từ dữ liệu sự kiện đã ghi nhận (loại vi phạm, mức độ, thời điểm phát hiện), để người phụ trách chỉ cần bổ sung nguyên nhân/giải pháp và duyệt.",Người phụ trách công bố thông tin/Ban điều hành duyệt nội dung trước khi công bố — bắt buộc vì ảnh hưởng uy tín và có thời hạn pháp lý.,"Kết quả rà soát hạn mức đầu tư/kết quả định giá NAV, mẫu công bố thông tin bất thường",Thông tư 96/2020/TT-BTC Điều 27 khoản 1 điểm l và điểm i,Thời gian soạn thảo bản công bố (mục tiêu: đủ nhanh để không lỡ hạn 24 giờ),CATALOGUE,S-COMP-002,_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L984,Chưa có thông tin thời lượng soạn thảo thủ công hiện tại và hệ thống công bố thông tin đang dùng,N,4,4,4,3,3.85,Quick win,Giá trị: 4 | Khả thi: 4 | Dữ liệu: 4 | Rủi ro: 3.
UC-050,T-CO-006,Compliance & Regulatory Reporting,AI soạn thảo công bố thông tin bất thường trong 24 giờ khi bị UBCKNN xử phạt/cảnh báo,4-Sinh nội dung,RPA + AI,Công ty phải công bố thông tin bất thường trong 24 giờ khi nhận quyết định xử phạt hoặc bị đưa vào diện cảnh báo/kiểm soát của UBCKNN — cùng áp lực thời hạn 24 giờ như sự kiện vượt hạn mức.,1. Nhận quyết định xử phạt/cảnh báo/kiểm soát từ UBCKNN. 2. Soạn nội dung công bố thông tin sự kiện. 3. Trình phê duyệt. 4. Công bố trong 24 giờ.,"Bước 2: AI trích xuất thông tin cốt lõi từ quyết định UBCKNN (số quyết định, ngày, nội dung vi phạm, mức phạt) và tự động sinh bản nháp công bố thông tin theo đúng mẫu quy định.",Người phụ trách công bố thông tin/Ban điều hành duyệt nội dung trước khi công bố.,"Quyết định của UBCKNN (văn bản), mẫu công bố thông tin bất thường",Thông tư 96/2020/TT-BTC Điều 23 khoản 1 điểm a và điểm c,Thời gian từ khi nhận quyết định đến khi công bố,CATALOGUE,S-COMP-002,_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L800,Chưa có thông tin thời lượng soạn thảo thủ công hiện tại và hệ thống công bố thông tin đang dùng,N,3,4,4,3,3.5,Chiến lược,Giá trị: 3 | Khả thi: 4 | Dữ liệu: 4 | Rủi ro: 3.
UC-051,T-CO-007,Compliance & Regulatory Reporting,AI tính toán và cảnh báo ngưỡng sở hữu cổ đông lớn của quỹ tại công ty đại chúng,6-Phát hiện bất thường,RPA + AI,Công ty quản lý quỹ (đứng tên hộ NĐT ủy thác) phải báo cáo khi đạt/mất ngưỡng 5% sở hữu tại 1 công ty đại chúng — tổng hợp thủ công qua nhiều danh mục/khách hàng ủy thác dễ bỏ sót thời điểm vượt ngưỡng.,1. Tổng hợp số cổ phiếu công ty đang nắm giữ (quỹ + toàn bộ khách hàng ủy thác) theo từng mã. 2. Tính tỷ lệ sở hữu trên tổng số cổ phiếu có quyền biểu quyết. 3. So sánh với ngưỡng 5%/1%. 4. Báo cáo UBCKNN/Sở GDCK nếu đạt/mất ngưỡng.,"Bước 1, 2, 3: AI tự động tổng hợp và tính tỷ lệ sở hữu theo từng mã cổ phiếu trên toàn bộ danh mục quỹ + khách hàng ủy thác, cảnh báo ngay khi tỷ lệ chạm/vượt ngưỡng 5% hoặc thay đổi qua ngưỡng 1%.",Bộ phận đầu tư xác nhận số liệu trước khi nộp báo cáo chính thức.,"Danh mục cổ phiếu nắm giữ của quỹ và từng khách hàng ủy thác, tổng số cổ phiếu có quyền biểu quyết đang lưu hành của công ty đại chúng liên quan",Thông tư 96/2020/TT-BTC Điều 25 khoản 5 điểm a; Luật Chứng khoán 54/2019/QH14 Điều 127,"Thời gian phát hiện đạt/vượt ngưỡng sở hữu, giảm rủi ro báo cáo trễ",CATALOGUE,"S-COMP-001,S-COMP-002","_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L870,_raw/legal_v2/congbao-luat-chung-khoan-54-2019-vbhn24.md#L4101",Chưa có thông tin hệ thống đang dùng để tổng hợp sở hữu theo mã cổ phiếu,N,4,4,4,4,4.0,Quick win,Giá trị: 4 | Khả thi: 4 | Dữ liệu: 4 | Rủi ro: 4.
UC-052,T-CO-008,Compliance & Regulatory Reporting,AI tự động đăng tải thay đổi sở hữu cổ đông lớn/người nội bộ lên website trong 3 ngày làm việc,4-Sinh nội dung,RPA + AI,Công ty phải công khai trên website thông tin thay đổi tỷ lệ sở hữu của cổ đông lớn/người nội bộ trong 3 ngày làm việc — thao tác lặp lại theo mẫu cố định mỗi khi nhận báo cáo mới.,1. Nhận báo cáo thay đổi sở hữu từ cổ đông lớn/người nội bộ. 2. Soạn nội dung công khai theo mẫu. 3. Đăng tải lên website công ty. 4. Lưu hồ sơ.,"Bước 2, 3: AI trích xuất thông tin từ báo cáo nhận được và tự động tạo nội dung đăng tải theo mẫu chuẩn, đẩy lên trang thông tin điện tử của công ty.",Người phụ trách CBTT kiểm tra nội dung trước khi đăng công khai.,"Báo cáo thay đổi sở hữu nhận được từ cổ đông lớn/người nội bộ, mẫu công bố trên website",Thông tư 96/2020/TT-BTC Điều 31 khoản 6 và Điều 33 khoản 7,Thời gian từ khi nhận báo cáo đến khi đăng tải công khai (hạn 3 ngày làm việc),CATALOGUE,S-COMP-002,_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L1120,Chưa có thông tin nền tảng website hiện tại có hỗ trợ đăng tải tự động qua API hay phải thao tác thủ công,N,3,5,4,2,3.6,Chiến lược,Giá trị: 3 | Khả thi: 5 | Dữ liệu: 4 | Rủi ro: 2.
UC-053,T-CO-009,Compliance & Regulatory Reporting,AI kiểm tra điều kiện & xác nhận đăng ký giao dịch của người nội bộ trước 3 ngày làm việc,1-Trích xuất & phân loại,RPA + AI,Người nội bộ quỹ đại chúng và người có liên quan phải đăng ký dự kiến giao dịch tối thiểu 3 ngày làm việc trước khi thực hiện — kiểm soát tuân thủ phải xác nhận đủ điều kiện thời hạn cho từng đăng ký trước khi chuyển UBCKNN/Sở GDCK.,1. Người nội bộ/người có liên quan nộp đăng ký dự kiến giao dịch. 2. Kiểm soát tuân thủ kiểm tra đủ điều kiện thời hạn (≥3 ngày làm việc trước ngày giao dịch dự kiến) và đầy đủ thông tin. 3. Xác nhận hợp lệ. 4. Chuyển UBCKNN/Sở GDCK.,"Bước 2: AI tự động trích xuất thông tin từ đăng ký (ngày nộp, ngày dự kiến giao dịch, số lượng), tính khoảng cách ngày làm việc, cảnh báo nếu chưa đủ 3 ngày hoặc thiếu trường bắt buộc.",Kiểm soát tuân thủ xác nhận lần cuối trước khi chuyển cơ quan quản lý.,"Đăng ký dự kiến giao dịch của người nội bộ/người có liên quan, lịch ngày làm việc",Thông tư 96/2020/TT-BTC Điều 33 khoản 1 điểm a,"Thời gian xử lý mỗi đăng ký, tỷ lệ đăng ký bị từ chối do thiếu điều kiện thời hạn",CATALOGUE,S-COMP-002,_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L1209,Chưa có thông tin tần suất phát sinh đăng ký thực tế và hệ thống tiếp nhận đang dùng,N,3,5,4,2,3.6,Chiến lược,Giá trị: 3 | Khả thi: 5 | Dữ liệu: 4 | Rủi ro: 2.
UC-054,T-CO-010,Compliance & Regulatory Reporting,AI tổng hợp báo cáo tỷ lệ an toàn tài chính bán niên/năm,2-Tổng hợp & phân tích,RPA + AI,Công ty phải công bố báo cáo tỷ lệ an toàn tài chính tại 30/6 và 31/12 cùng thời điểm với BCTC bán niên/năm — cần tổng hợp nhiều chỉ tiêu vốn khả dụng từ nhiều nguồn số liệu kế toán.,1. Thu thập số liệu vốn khả dụng và các chỉ tiêu an toàn tài chính. 2. Tính toán tỷ lệ theo công thức quy định. 3. Gửi tổ chức kiểm toán/soát xét. 4. Công bố báo cáo đã kiểm toán/soát xét.,"Bước 1, 2: AI tự động tổng hợp số liệu vốn khả dụng từ hệ thống kế toán và tính toán trước các chỉ tiêu tỷ lệ an toàn tài chính theo công thức quy định, tạo bản nháp báo cáo cho kiểm toán/soát xét.","Kiểm toán/soát xét độc lập xác nhận số liệu trước khi công bố — bắt buộc theo quy định, không thể bỏ qua.",Số liệu vốn khả dụng và các chỉ tiêu an toàn tài chính từ hệ thống kế toán,Thông tư 96/2020/TT-BTC Điều 22 khoản 2; Luật Chứng khoán 54/2019/QH14 Điều 123 khoản 1 điểm b,Thời gian chuẩn bị số liệu trước khi chuyển kiểm toán/soát xét,CATALOGUE,"S-COMP-001,S-COMP-002","_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L787,_raw/legal_v2/congbao-luat-chung-khoan-54-2019-vbhn24.md#L3983",Chưa có thông tin hệ thống kế toán hiện tại và thời lượng chuẩn bị thủ công,N,3,4,3,3,3.25,Chiến lược,Giá trị: 3 | Khả thi: 4 | Dữ liệu: 3 | Rủi ro: 3.
UC-055,T-CO-011,Compliance & Regulatory Reporting,AI kiểm tra hạn mức đầu tư trước khi gửi lệnh giao dịch ra thị trường (pre-trade compliance check),6-Phát hiện bất thường,AI Agent,Vượt hạn mức đầu tư sau khi lệnh đã khớp dẫn tới hậu quả pháp lý nghiêm trọng (như case MB Capital) và phải công bố thông tin bất thường trong 24 giờ (T-CO-005) — kiểm tra TRƯỚC khi đặt lệnh ngăn được vi phạm thay vì chỉ xử lý hậu quả.,1. Bộ phận đầu tư dự kiến lệnh giao dịch. 2. Đối chiếu lệnh dự kiến với hạn mức/tỷ lệ đầu tư theo Điều lệ quỹ và pháp luật. 3. Xác nhận lệnh hợp lệ hoặc cảnh báo/chặn nếu có nguy cơ vi phạm. 4. Gửi lệnh ra thị trường nếu hợp lệ.,"Bước 2, 3: AI tự động đối chiếu lệnh dự kiến với hạn mức đầu tư hiện hành của quỹ ngay trước khi gửi lệnh, chặn hoặc cảnh báo nếu lệnh có nguy cơ đẩy danh mục vượt hạn mức.",Bộ phận đầu tư/Kiểm soát tuân thủ xác nhận xử lý khi AI cảnh báo — không tự động chặn hoàn toàn nếu có tình huống ngoại lệ hợp lệ (ví dụ được UBCKNN chấp thuận riêng).,"Lệnh giao dịch dự kiến, hạn mức đầu tư hiện hành của quỹ, danh mục hiện tại theo thời gian thực/cuối ngày gần nhất","[INFERENCE] Suy từ hậu quả pháp lý của việc vượt hạn mức (TT96 Điều 27.1.l) và chuẩn ngành quốc tế (module pre-trade compliance Bloomberg AIM/Confluence) — pháp luật VN hiện chỉ quy định KẾT QUẢ không được vượt hạn mức, chưa quy định cụ thể phải kiểm tra trước khi đặt lệnh","Số lệnh có nguy cơ vi phạm được chặn/cảnh báo trước khi khớp, giảm rủi ro phải công bố thông tin bất thường do vượt hạn mức",CATALOGUE,"S-COMP-002,S-COMP-004,S-COMP-005","_raw/legal_v2/bloomberg-aim-compliance-product.md,_raw/legal_v2/confluence-signal-product.md,_raw/legal_v2/congbao-thong-tu-96-2020-tt-btc.md#L984","INFERENCE — chưa xác minh CTQLQ Việt Nam có cơ chế kiểm tra tiền kiểm dạng này hay chỉ hậu kiểm; cần phỏng vấn Compliance Officer để xác nhận trước khi nâng lên VERIFIED. Có phần trùng phạm vi với UC-028 (T-BO-055, cảnh báo hạn mức nội bộ) — UC-028 là hậu kiểm/theo dõi liên tục, UC-055 là tiền kiểm/theo từng lệnh.",Y,5,3,3,3,3.7,Chiến lược,Giá trị: 5 | Khả thi: 3 | Dữ liệu: 3 | Rủi ro: 3.
